canonical_common_name,scientific_name,family_sci,family_common,order,regions,alpha_4,aliases,is_model_species
Abbott's Babbler,Malacocincla abbotti,Pellorneidae,Ground Babblers,Passeriformes,OR,,,0
Abbott's Booby,Papasula abbotti,Sulidae,Gannet/Booby sp.,Suliformes,IO,,,0
Abbott's Starling,Arizelopsar femoralis,Sturnidae,Starling/Myna sp.,Passeriformes,AF,,,0
Abd al-Kuri Sparrow,Passer hemileucus,Passeridae,Old World Sparrow sp.,Passeriformes,AF,,,0
Abdim's Stork,Ciconia abdimii,Ciconiidae,Wood Stork,Ciconiiformes,"AF,PAL",,,0
Aberdare Cisticola,Cisticola aberdare,Cisticolidae,Cisticolas & Allies,Passeriformes,AF,,,0
Aberrant Bush Warbler,Horornis flavolivaceus,Cettiidae,Cettia Bush Warblers & Allies,Passeriformes,OR,,,0
Abert's Towhee,Melozone aberti,Passerellidae,Sparrow sp.,Passeriformes,"NA,MA",ABTO,,1
Abyssinian Catbird,Sylvia galinieri,Sylviidae,Sylviid Babblers,Passeriformes,AF,,,0
Abyssinian Crimsonwing,Cryptospiza salvadorii,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Abyssinian Ground Hornbill,Bucorvus abyssinicus,Bucorvidae,Ground Hornbills,Bucerotiformes,AF,,,0
Abyssinian Ground Thrush,Geokichla piaggiae,Turdidae,Thrush sp.,Passeriformes,AF,,,0
Abyssinian Longclaw,Macronyx flavicollis,Motacillidae,Pipit/Wagtail sp.,Passeriformes,AF,,,0
Abyssinian Owl,Asio abyssinicus,Strigidae,Owl sp.,Strigiformes,AF,,,0
Abyssinian Roller,Coracias abyssinicus,Coraciidae,Rollers,Coraciiformes,AF,,,0
Abyssinian Scimitarbill,Rhinopomastus minor,Phoeniculidae,Wood Hoopoes,Bucerotiformes,AF,,,0
Abyssinian Slaty Flycatcher,Melaenornis chocolatinus,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
Abyssinian Sunbird,Cinnyris habessinicus,Nectariniidae,Sunbirds,Passeriformes,AF,,,0
Abyssinian Thrush,Turdus abyssinicus,Turdidae,Thrush sp.,Passeriformes,AF,,,0
Abyssinian Wheatear,Oenanthe lugubris,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
Abyssinian White-eye,Zosterops abyssinicus,Zosteropidae,White-eyes,Passeriformes,AF,,,0
Abyssinian Woodpecker,Dendropicos abyssinicus,Picidae,Woodpecker sp.,Piciformes,AF,,,0
Acacia Pied Barbet,Tricholaema leucomelas,Lybiidae,African Barbets,Piciformes,AF,,,0
Acacia Tit,Melaniparus thruppi,Paridae,Titmouse/Chickadee sp.,Passeriformes,AF,,,0
Acadian Flycatcher,Empidonax virescens,Tyrannidae,Flycatcher sp.,Passeriformes,NA,ACFL,,1
Aceh Bulbul,Pycnonotus snouckaerti,Pycnonotidae,Bulbuls,Passeriformes,OR,,,0
Acorn Woodpecker,Melanerpes formicivorus,Picidae,Woodpecker sp.,Piciformes,"NA,MA,SA",ACWO,,1
Acre Antshrike,Thamnophilus divisorius,Thamnophilidae,Antbirds,Passeriformes,SA,,,0
Acre Tody-Tyrant,Hemitriccus cohnhafti,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Adamawa Turtle Dove,Streptopelia hypopyrrha,Columbidae,Pigeon/Dove sp.,Columbiformes,AF,,,0
Adelaide's Warbler,Setophaga adelaidae,Parulidae,Warbler sp.,Passeriformes,NA,ADWA,,0
Adelie Penguin,Pygoscelis adeliae,Spheniscidae,Penguins,Sphenisciformes,"SO,AN",,,0
Admiralty Cicadabird,Edolisoma admiralitatis,Campephagidae,Cuckooshrikes,Passeriformes,AU,,,0
Afep Pigeon,Columba unicincta,Columbidae,Pigeon/Dove sp.,Columbiformes,AF,,,0
Afghan Babbler,Argya huttoni,Leiothrichidae,Laughingthrushes & Allies,Passeriformes,PAL,,,0
Afghan Snowfinch,Pyrgilauda theresae,Passeridae,Old World Sparrow sp.,Passeriformes,PAL,,,0
African Barred Owlet,Glaucidium capense,Strigidae,Owl sp.,Strigiformes,AF,,,0
African Black Duck,Anas sparsa,Anatidae,Waterfowl sp.,Anseriformes,AF,,,0
African Black Swift,Apus barbatus,Apodidae,Swift sp.,Apodiformes,AF,,,0
African Blue Flycatcher,Elminia longicauda,Stenostiridae,Fairy Flycatchers,Passeriformes,AF,,,0
African Blue Tit,Cyanistes teneriffae,Paridae,Titmouse/Chickadee sp.,Passeriformes,AF,,,0
African Broadbill,Smithornis capensis,Calyptomenidae,African & Green Broadbills,Passeriformes,AF,,,0
African Chaffinch,Fringilla spodiogenys,Fringillidae,Finch sp.,Passeriformes,PAL,,,0
African Citril,Crithagra citrinelloides,Fringillidae,Finch sp.,Passeriformes,AF,,,0
African Collared Dove,Streptopelia roseogrisea,Columbidae,Pigeon/Dove sp.,Columbiformes,AF,AFCD,,0
African Crake,Crecopsis egregia,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,AF,,,0
African Cuckoo,Cuculus gularis,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,AF,,,0
African Cuckoo-Hawk,Aviceda cuculoides,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AF,,,0
African Darter,Anhinga rufa,Anhingidae,Anhinga,Suliformes,"AF,PAL",,,0
African Desert Warbler,Curruca deserti,Sylviidae,Sylviid Babblers,Passeriformes,PAL,,,0
African Dusky Flycatcher,Muscicapa adusta,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
African Dwarf Kingfisher,Ispidina lecontei,Alcedinidae,Kingfisher sp.,Coraciiformes,AF,,,0
African Emerald Cuckoo,Chrysococcyx cupreus,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,AF,,,0
African Finfoot,Podica senegalensis,Heliornithidae,Finfoots,Gruiformes,AF,,,0
African Firefinch,Lagonosticta rubricata,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
African Fish Eagle,Icthyophaga vocifer,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AF,,,0
African Golden Oriole,Oriolus auratus,Oriolidae,"Figbirds, Old World Orioles, Piopios",Passeriformes,AF,,,0
African Goshawk,Aerospiza tachiro,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AF,,,0
African Grass Owl,Tyto capensis,Tytonidae,Barn Owl,Strigiformes,AF,,,0
African Green Bee-eater,Merops viridissimus,Meropidae,Bee-eaters,Coraciiformes,AF,,,0
African Green Pigeon,Treron calvus,Columbidae,Pigeon/Dove sp.,Columbiformes,AF,,,0
African Grey Flycatcher,Bradornis microrhynchus,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
African Grey Hornbill,Lophoceros nasutus,Bucerotidae,Hornbills,Bucerotiformes,AF,,,0
African Grey Woodpecker,Dendropicos goertae,Picidae,Woodpecker sp.,Piciformes,AF,,,0
African Harrier-Hawk,Polyboroides typus,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,AF,,,0
